X,Y,z,dx,dz,dyaw,dt,,観測x,観測y,ヤコビx,ヤコビy,,観測x-ヤコビx,観測y-ヤコビy,
-214.734,-161.398,0.833655,-0.000460518,0.0105528,0.0436116,0.0824246,,34.2415,4.04092,18.292,2.27544,,15.9494,1.76548,
-256.12,-117.853,0.761805,-0.000460518,0.0105528,0.0436116,0.0824246,,37.2378,3.62646,19.8905,2.12859,,17.3473,1.49787,
-230.999,-169.921,0.807991,-0.000460518,0.0105528,0.0436116,0.0824246,,35.5671,5.00704,18.8966,2.67166,,16.6705,2.33539,
-249.091,-116.867,0.769253,-0.000460518,0.0105528,0.0436116,0.0824246,,37.1848,3.61272,19.5788,2.0241,,17.606,1.58862,
-251.684,-147.909,0.764134,-0.000460518,0.0105528,0.0436116,0.0824246,,37.3878,4.92038,19.6819,2.59593,,17.7059,2.32446,
-230.891,-161.308,0.803504,-0.000460518,0.0105528,0.0436116,0.0824246,,35.4091,4.78191,18.875,2.5223,,16.5341,2.2596,
-214.877,-162.843,0.833434,-0.000460518,0.0105528,0.0436116,0.0824246,,34.2554,4.11008,18.2972,2.29817,,15.9583,1.81191,
-262.989,-184.162,0.759905,-0.000460518,0.0105528,0.0436116,0.0824246,,37.8574,6.39448,20.2306,3.47746,,17.6268,2.91702,
-252.134,-117.867,0.76329,-0.000460518,0.0105528,0.0436116,0.0824246,,37.2272,3.62562,19.7001,2.07348,,17.5271,1.55214,
-231.965,-171.194,0.80063,-0.000460518,0.0105528,0.0436116,0.0824246,,35.5956,5.05104,18.9119,2.69174,,16.6836,2.3593,
-264.259,-186.005,0.758409,-0.000460518,0.0105528,0.0436116,0.0824246,,38.0544,6.45455,20.2892,3.53659,,17.7652,2.91796,
-265.582,-189.172,0.721799,-0.000460518,0.0105528,0.0436116,0.0824246,,37.8491,6.41201,20.1707,3.49451,,17.6784,2.9175,
-216.034,-165.761,0.831098,-0.000460518,0.0105528,0.0436116,0.0824246,,34.2355,4.40078,18.3369,2.35735,,15.8985,2.04342,
-256.12,-117.853,0.761805,-0.000460518,0.0105528,0.0436116,0.0824246,,37.2378,3.62646,19.8905,2.12859,,17.3473,1.49787,
