X,Y,z,dx,dz,dyaw,dt,,観測x,観測y,ヤコビx,ヤコビy,,観測x-ヤコビx,観測y-ヤコビy,
-202.979,-72.0008,1.06316,-0,1.00455e-05,0,0.0441471,,-0.0464478,0.000587463,-0.00192261,-0.000679016,,-0.0445251,0.00126648,
-125.989,-176.99,1.1978,-0,1.00455e-05,0,0.0441471,,-0.024231,-0.00640488,-0.00105286,-0.00148392,,-0.0231781,-0.00492096,
-136.014,-140.004,1.09633,-0,1.00455e-05,0,0.0441471,,-0.00152588,0.00640106,-0.00125122,-0.00128174,,-0.000274658,0.0076828,
-200.071,-145.999,1.27428,-0,1.00455e-05,0,0.0441471,,0.0438232,0.0161743,-0.00157166,-0.00115204,,0.0453949,0.0173264,
-265.982,-174.969,1.302,-0,1.00455e-05,0,0.0441471,,-0.0228271,-0.0311708,-0.00205231,-0.0013504,,-0.0207748,-0.0298204,
-212.079,-150.995,1.23496,-0,1.00455e-05,0,0.0441471,,-0.00569916,-0.00706482,-0.00172424,-0.00122833,,-0.00397491,-0.00583649,
-215.017,-168.011,1.27568,-0,1.00455e-05,0,0.0441471,,0.000457764,-0.017601,-0.00169373,-0.0013237,,0.00215149,-0.0162773,
-124.004,-170.997,1.18499,-0,1.00455e-05,0,0.0441471,,-0.0112152,-0.00592995,-0.00105286,-0.00144958,,-0.0101624,-0.00448036,
-123.002,-174.982,1.19502,-0,1.00455e-05,0,0.0441471,,-0.0150757,-0.0126019,-0.0010376,-0.00147057,,-0.0140381,-0.0111313,
-125.984,-172.994,1.19067,-0,1.00455e-05,0,0.0441471,,-0.02565,-0.00524044,-0.00106812,-0.00145912,,-0.0245819,-0.00378132,
-145.011,-84.0288,1.19362,-0,1.00455e-05,0,0.0441471,,0.00231934,0.00338745,-0.0012207,-0.000709534,,0.00354004,0.00409698,
-121.001,-178.98,1.21155,-0,1.00455e-05,0,0.0441471,,-0.0157623,-0.0241251,-0.00100708,-0.00148392,,-0.0147552,-0.0226412,
-144.982,-177.002,1.21902,-0,1.00455e-05,0,0.0441471,,-0.009552,-0.00522995,-0.00119019,-0.00145817,,-0.00836182,-0.00377178,
-229.995,-176.022,1.26499,-0,1.00455e-05,0,0.0441471,,-0.0470352,0.00505543,-0.00182343,-0.00139809,,-0.0452118,0.00645351,
-202.073,-146,1.2719,-0,1.00455e-05,0,0.0441471,,0.0306091,0.0166245,-0.00160217,-0.00115204,,0.0322113,0.0177765,
-188.064,-148.004,1.24433,-0,1.00455e-05,0,0.0441471,,0.0549164,-0.00056839,-0.00152588,-0.001194,,0.0564423,0.00062561,
-138.009,-140.989,1.1056,-0,1.00455e-05,0,0.0441471,,-0.000350952,-0.00667572,-0.00125122,-0.00128174,,0.000900269,-0.00539398,
-200.071,-146.999,1.27927,-0,1.00455e-05,0,0.0441471,,0.0445862,0.015995,-0.00157166,-0.00115585,,0.0461578,0.0171509,
-124,-175.985,1.19552,-0,1.00455e-05,0,0.0441471,,-0.0163422,-0.00839329,-0.0010376,-0.00147915,,-0.0153046,-0.00691414,
-127.986,-174.994,1.19616,-0,1.00455e-05,0,0.0441471,,-0.0282898,-0.00564384,-0.00106812,-0.00146961,,-0.0272217,-0.00417423,
-214.065,-151.996,1.23168,-0,1.00455e-05,0,0.0441471,,-0.0139008,-0.0106125,-0.00174713,-0.00123978,,-0.0121536,-0.00937271,
-215.017,-168.011,1.27568,-0,1.00455e-05,0,0.0441471,,0.000457764,-0.017601,-0.00169373,-0.0013237,,0.00215149,-0.0162773,
-145.987,-176.998,1.21986,-0,1.00455e-05,0,0.0441471,,0.00360107,-0.00961304,-0.00120544,-0.00145721,,0.00480652,-0.00815582,
-148.004,-85.0081,1.18044,-0,1.00455e-05,0,0.0441471,,-0.00534058,-0.0128479,-0.00126648,-0.000724792,,-0.0040741,-0.0121231,
-229.995,-176.022,1.26499,-0,1.00455e-05,0,0.0441471,,-0.0470352,0.00505543,-0.00182343,-0.00139809,,-0.0452118,0.00645351,
-216.017,-168.014,1.27299,-0,1.00455e-05,0,0.0441471,,0.000602722,-0.0133858,-0.00170135,-0.00132561,,0.00230408,-0.0120602,
-138.014,-139.993,1.10801,-0,1.00455e-05,0,0.0441471,,-0.00239563,0.000320435,-0.00125122,-0.00127029,,-0.00114441,0.00159073,
-190.043,-149.005,1.25911,-0,1.00455e-05,0,0.0441471,,0.0440826,0.0067482,-0.00151062,-0.00119019,,0.0455933,0.00793839,
-222.005,-176.027,1.27553,-0,1.00455e-05,0,0.0441471,,-0.0188217,0.00098896,-0.00174713,-0.00138664,,-0.0170746,0.0023756,
-267.989,-175.95,1.31388,-0,1.00455e-05,0,0.0441471,,-0.0189362,-0.0291843,-0.00205231,-0.00134563,,-0.0168839,-0.0278387,
-215.072,-153.002,1.2427,-0,1.00455e-05,0,0.0441471,,-0.0111771,-0.011776,-0.0017395,-0.00123596,,-0.00943756,-0.01054,
-128.985,-175.993,1.19731,-0,1.00455e-05,0,0.0441471,,-0.0278625,-0.00518703,-0.00108337,-0.00147629,,-0.0267792,-0.00371075,
-156.999,-81.0204,1.14976,-0,1.00455e-05,0,0.0441471,,0.00675964,0.00347137,-0.00137329,-0.000709534,,0.00813293,0.00418091,
-149.005,-84.0175,1.17936,-0,1.00455e-05,0,0.0441471,,-0.00166321,-0.0113144,-0.00126648,-0.000717163,,-0.000396729,-0.0105972,
