X,Y,z,dx,dz,dyaw,dt,,観測x,観測y,ヤコビx,ヤコビy,,観測x-ヤコビx,観測y-ヤコビy,
-144,-170,0.932717,-0,1.28127e-05,0,0.0398067,,0.0111389,0.0100651,-0.00198364,-0.00233459,,0.0131226,0.0123997,
-152,-170,0.910759,-0,1.28127e-05,0,0.0398067,,0.0247345,-0.00533104,-0.00213623,-0.00239182,,0.0268707,-0.00293922,
-150,-168,0.921557,-0,1.28127e-05,0,0.0398067,,0.0228882,0.00302124,-0.00209045,-0.0023365,,0.0249786,0.00535774,
-139,-173,0.931616,-0,1.28127e-05,0,0.0398067,,0.00177002,0.00846767,-0.00190735,-0.00237942,,0.00367737,0.0108471,
-178,-130,0.872413,-0,1.28127e-05,0,0.0398067,,0.0142059,0.0121002,-0.00260925,-0.00190735,,0.0168152,0.0140076,
-136,-161,0.935046,-0,1.28127e-05,0,0.0398067,,-0.0127716,0.0191727,-0.00186157,-0.0022068,,-0.01091,0.0213795,
-178,-135,0.87518,-0,1.28127e-05,0,0.0398067,,0.0144653,0.00686264,-0.00260925,-0.00197601,,0.0170746,0.00883865,
-139,-150,0.941348,-0,1.28127e-05,0,0.0398067,,-0.0142822,0.0368805,-0.00189209,-0.00204086,,-0.0123901,0.0389214,
-177,-107,0.874776,-0,1.28127e-05,0,0.0398067,,-0.0106049,0.0141907,-0.00259399,-0.00156403,,-0.00801086,0.0157547,
-153,-151,0.913165,-0,1.28127e-05,0,0.0398067,,4.57764e-05,0.0139694,-0.00215149,-0.00211716,,0.00219727,0.0160866,
-171,-128,0.880548,-0,1.28127e-05,0,0.0398067,,0.00344849,0.0101852,-0.00248718,-0.00186157,,0.00593567,0.0120468,
-158,-176,0.898787,-0,1.28127e-05,0,0.0398067,,0.0373688,-0.0132999,-0.0022583,-0.00250912,,0.0396271,-0.0107908,
-170,-106,0.885345,-0,1.28127e-05,0,0.0398067,,-0.0144196,0.0138626,-0.00245667,-0.00153351,,-0.0119629,0.0153961,
-171,-132,0.880613,-0,1.28127e-05,0,0.0398067,,0.00901794,0.0136604,-0.00248718,-0.00191879,,0.0115051,0.0155792,
-153,-146,0.900103,-0,1.28127e-05,0,0.0398067,,0.00387573,0.0192871,-0.00218201,-0.00207901,,0.00605774,0.0213661,
-170,-179,0.88923,-0,1.28127e-05,0,0.0398067,,-0.0199738,-0.0177193,-0.00245667,-0.00257874,,-0.0175171,-0.0151405,
-139,-151,0.939504,-0,1.28127e-05,0,0.0398067,,-0.0196686,0.0404129,-0.00189209,-0.00205994,,-0.0177765,0.0424728,
-150,-168,0.921557,-0,1.28127e-05,0,0.0398067,,0.0228882,0.00302124,-0.00209045,-0.0023365,,0.0249786,0.00535774,
-145,-171,0.930622,-0,1.28127e-05,0,0.0398067,,0.016922,0.0100479,-0.0019989,-0.00235367,,0.0189209,0.0124016,
-173,-133,0.879201,-0,1.28127e-05,0,0.0398067,,0.0128632,0.00947571,-0.0025177,-0.00193787,,0.0153809,0.0114136,
-179,-136,0.874494,-0,1.28127e-05,0,0.0398067,,0.0212097,0.00680542,-0.00262451,-0.00199127,,0.0238342,0.00879669,
-179,-130,0.871307,-0,1.28127e-05,0,0.0398067,,0.0154572,0.0129814,-0.00263977,-0.00191116,,0.0180969,0.0148926,
-136,-161,0.935046,-0,1.28127e-05,0,0.0398067,,-0.0127716,0.0191727,-0.00186157,-0.0022068,,-0.01091,0.0213795,
-179,-163,0.87884,-0,1.28127e-05,0,0.0398067,,0.00498962,0.00791168,-0.00260925,-0.00237656,,0.00759888,0.0102882,
-173,-107,0.879872,-0,1.28127e-05,0,0.0398067,,-0.0107117,0.0138702,-0.0025177,-0.0015564,,-0.00819397,0.0154266,
-173,-130,0.878567,-0,1.28127e-05,0,0.0398067,,0.0132141,0.010849,-0.0025177,-0.0018959,,0.0157318,0.0127449,
-154,-152,0.908031,-0,1.28127e-05,0,0.0398067,,0.000244141,0.0137558,-0.00216675,-0.00214386,,0.00241089,0.0158997,
-230,-98,0.79307,-0,1.28127e-05,0,0.0398067,,0.0424271,0.00125122,-0.00371552,-0.00158691,,0.0461426,0.00283813,
-138,-160,0.935492,-0,1.28127e-05,0,0.0398067,,-0.0150757,0.0352039,-0.00189209,-0.00219154,,-0.0131836,0.0373955,
-151,-170,0.915602,-0,1.28127e-05,0,0.0398067,,0.0228271,-0.00135422,-0.00210571,-0.00237846,,0.0249329,0.00102425,
-180,-165,0.880149,-0,1.28127e-05,0,0.0398067,,0.00923157,0.00889969,-0.00262451,-0.00240135,,0.0118561,0.011301,
