X,Y,z,dx,dz,dyaw,dt,,観測x,観測y,ヤコビx,ヤコビy,,観測x-ヤコビx,観測y-ヤコビy,
-139.007,-149.987,0.945735,-0.00339482,0.0554088,0.061192,0.0613357,,-75.7265,-11.4108,16.655,-5.14227,,-92.3814,-6.26849,
-177.022,-106.978,0.869261,-0.00339482,0.0554088,0.061192,0.0613357,,-79.0981,-10.8751,15.6161,-3.50812,,-94.7141,-7.36703,
-153.001,-150.994,0.90947,-0.00339482,0.0554088,0.061192,0.0613357,,-77.9978,-18.9273,16.1922,-5.16013,,-94.19,-13.7672,
-170.025,-105.975,0.882956,-0.00339482,0.0554088,0.061192,0.0613357,,-79.0664,-10.8927,15.8056,-3.50009,,-94.8719,-7.39265,
-170.99,-131.99,0.880341,-0.00339482,0.0554088,0.061192,0.0613357,,-80.6939,-15.9198,15.7707,-4.36163,,-96.4646,-11.5582,
-152.993,-145.99,0.898858,-0.00339482,0.0554088,0.061192,0.0613357,,-77.8985,-15.3176,16.0823,-5.09435,,-93.9808,-10.2233,
-139.016,-150.981,0.944028,-0.00339482,0.0554088,0.061192,0.0613357,,-75.8615,-11.8619,16.6402,-5.19212,,-92.5017,-6.66981,
-178.999,-162.996,0.877684,-0.00339482,0.0554088,0.061192,0.0613357,,-83.9894,-21.1658,15.7226,-5.18906,,-99.712,-15.9767,
-173.022,-106.978,0.878132,-0.00339482,0.0554088,0.061192,0.0613357,,-79.1118,-10.889,15.7376,-3.51405,,-94.8494,-7.37494,
-154.003,-151.992,0.905204,-0.00339482,0.0554088,0.061192,0.0613357,,-77.9617,-19.2021,16.1407,-5.21125,,-94.1025,-13.9908,
-179.991,-165,0.878654,-0.00339482,0.0554088,0.061192,0.0613357,,-84.268,-21.0044,15.7347,-5.21276,,-100.003,-15.7917,
-181.982,-167.997,0.879071,-0.00339482,0.0554088,0.061192,0.0613357,,-83.5999,-21.1752,15.7406,-5.24392,,-99.3405,-15.9312,
-140.009,-152.995,0.94722,-0.00339482,0.0554088,0.061192,0.0613357,,-76.0255,-12.7658,16.658,-5.20457,,-92.6835,-7.56125,
-177.022,-106.978,0.869261,-0.00339482,0.0554088,0.061192,0.0613357,,-79.0981,-10.8751,15.6161,-3.50812,,-94.7141,-7.36703,
-179.991,-165,0.878654,-0.00339482,0.0554088,0.061192,0.0613357,,-84.268,-21.0044,15.7347,-5.21276,,-100.003,-15.7917,
-179.983,-137.991,0.874859,-0.00339482,0.0554088,0.061192,0.0613357,,-81.1837,-17.3312,15.6855,-4.3974,,-96.8693,-12.9338,
-175.998,-171,0.877572,-0.00339482,0.0554088,0.061192,0.0613357,,-83.4094,-21.3356,15.7243,-5.53496,,-99.1337,-15.8006,
-139.011,-152.987,0.942734,-0.00339482,0.0554088,0.061192,0.0613357,,-75.9625,-12.5711,16.629,-5.27355,,-92.5915,-7.29757,
42.9833,-130.014,1.29957,-0.00339482,0.0554088,0.061192,0.0613357,,-94.2364,12.3187,23.5755,-6.52036,,-117.812,18.8391,
83.9967,-107.993,1.48799,-0.00339482,0.0554088,0.061192,0.0613357,,96.5296,63.6093,25.7809,-5.60733,,70.7487,69.2166,
99.2067,-127.063,1.52429,-0.00339482,0.0554088,0.061192,0.0613357,,35.5987,80.3286,26.7464,-6.82269,,8.85229,87.1513,
28.0031,-143.004,1.22281,-0.00339482,0.0554088,0.061192,0.0613357,,-85.292,17.121,22.826,-7.18,,-108.118,24.301,
82.0225,-118.986,1.48758,-0.00339482,0.0554088,0.061192,0.0613357,,13.2784,72.6256,25.6509,-6.13826,,-12.3725,78.7638,
83.0092,-115.99,1.4863,-0.00339482,0.0554088,0.061192,0.0613357,,59.0224,108.835,25.7188,-6.00739,,33.3037,114.842,
99.2152,-124.067,1.55853,-0.00339482,0.0554088,0.061192,0.0613357,,37.8758,80.4145,26.6677,-6.56293,,11.2081,86.9775,
38.977,-125.013,1.30929,-0.00339482,0.0554088,0.061192,0.0613357,,-93.2568,11.8564,23.3349,-6.14242,,-116.592,17.9989,
87.0108,-112.982,1.50822,-0.00339482,0.0554088,0.061192,0.0613357,,59.254,109.457,25.9397,-5.86944,,33.3143,115.326,
95.1598,-127.056,1.50651,-0.00339482,0.0554088,0.061192,0.0613357,,31.1667,80.3112,26.5026,-6.78689,,4.66406,87.0981,
32.0055,-146.998,1.22493,-0.00339482,0.0554088,0.061192,0.0613357,,-83.6494,15.0045,23.0468,-7.47187,,-106.696,22.4764,
80.0309,-121.975,1.47878,-0.00339482,0.0554088,0.061192,0.0613357,,26.9929,81.6113,25.538,-6.27703,,1.45483,87.8883,
5.02145,-180.998,1.07055,-0.00339482,0.0554088,0.061192,0.0613357,,-36.8144,51.9903,21.6847,-9.52689,,-58.4991,61.5172,
-91.0016,-99.974,0.910131,-0.00339482,0.0554088,0.061192,0.0613357,,-59.1684,0.95369,17.3286,-4.49581,,-76.497,5.4495,
81.0304,-119.974,1.48632,-0.00339482,0.0554088,0.061192,0.0613357,,14.7003,73.3747,25.5882,-6.1722,,-10.8879,79.5469,
40.9875,-131.014,1.30227,-0.00339482,0.0554088,0.061192,0.0613357,,-94.0922,12.2236,23.4575,-6.51324,,-117.55,18.7368,
83.0063,-116.99,1.48706,-0.00339482,0.0554088,0.061192,0.0613357,,59.444,110.463,25.717,-6.05695,,33.727,116.52,
99.2067,-127.063,1.52429,-0.00339482,0.0554088,0.061192,0.0613357,,35.5987,80.3286,26.7464,-6.82269,,8.85229,87.1513,
95.1348,-136.035,1.43999,-0.00339482,0.0554088,0.061192,0.0613357,,26.331,85.9894,26.6626,-7.49712,,-0.331635,93.4866,
31.0054,-146.998,1.21841,-0.00339482,0.0554088,0.061192,0.0613357,,-83.8226,15.5086,22.9981,-7.48177,,-106.821,22.9904,
-101.016,-166.991,0.937258,-0.00339482,0.0554088,0.061192,0.0613357,,-50.9106,-0.812611,17.233,-6.92293,,-68.1437,6.11032,
