X,Y,z,dx,dz,dyaw,dt,,観測x,観測y,ヤコビx,ヤコビy,,観測x-ヤコビx,観測y-ヤコビy,
-52.4084,-161.909,0.859569,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.79135,0.445181,9.69461,0.223003,,0.0967407,0.222178,
-57.5969,-159.881,0.846096,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.79962,0.429314,9.72272,0.278397,,0.0769043,0.150917,
-64.6523,-151.143,0.833937,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.75555,0.50293,9.76822,0.340813,,-0.0126648,0.162117,
-58.1222,-147.002,0.842096,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.74506,0.458683,9.72528,0.260094,,0.0197754,0.198589,
-64.2088,-157.159,0.828608,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.79791,0.500984,9.76382,0.34605,,0.0340881,0.154934,
-65.0975,-152.247,0.832551,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.75223,0.6479,9.77121,0.347912,,-0.0189819,0.299988,
-59.8442,-138.224,0.841714,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.72839,0.232975,9.73633,0.263084,,-0.00793457,-0.0301094,
-59.4884,-126.012,0.847315,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.76605,0.0958252,9.73511,0.238651,,0.0309448,-0.142826,
-52.7517,-147.989,0.880819,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.74081,0.344521,9.70001,0.217602,,0.040802,0.126919,
-57.3218,-162.086,0.843526,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.8049,0.454758,9.72052,0.277361,,0.0843811,0.177397,
-58.4417,-160.58,0.837243,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.80426,0.422451,9.72635,0.285545,,0.0779114,0.136906,
-65.159,-158.368,0.827925,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.7981,0.492765,9.77063,0.360161,,0.0274658,0.132605,
-58.1222,-147.002,0.842096,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.74506,0.458683,9.72528,0.260094,,0.0197754,0.198589,
-62.9067,-148.611,0.836826,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.74344,0.384712,9.75629,0.316174,,-0.0128479,0.0685387,
-56.674,-164.474,0.851223,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.80954,0.419113,9.71796,0.277227,,0.0915833,0.141886,
-59.5888,-147.707,0.838425,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.74811,0.366428,9.73401,0.276546,,0.0140991,0.0898819,
-74.1367,-133.631,0.845767,-6.47513e-05,0.00235464,0.0274925,0.0425285,,10.1052,0.46262,9.84778,0.406155,,0.257416,0.0564651,
-53.4362,-147.922,0.880924,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.75375,0.378197,9.70389,0.225506,,0.0498657,0.152691,
-61.4914,-126.194,0.847214,-6.47513e-05,0.00235464,0.0274925,0.0425285,,9.76462,-0.0510368,9.74854,0.258804,,0.0160828,-0.309841,
