X,Y,z,dx,dz,dyaw,dt,,観測x,観測y,ヤコビx,ヤコビy,,観測x-ヤコビx,観測y-ヤコビy,
-136.174,-154.792,0.887543,-0.00036694,0.00948231,0.038678,0.070772,,14.2972,1.13904,14.1321,0.67561,,0.165146,0.463432,
-171.732,-111.612,0.817124,-0.00036694,0.00948231,0.038678,0.070772,,15.0592,1.15694,14.804,0.822952,,0.255249,0.333992,
-149.77,-161.342,0.853792,-0.00036694,0.00948231,0.038678,0.070772,,14.5317,1.36872,14.3532,0.878473,,0.178497,0.490244,
-164.773,-110.643,0.828652,-0.00036694,0.00948231,0.038678,0.070772,,15.0513,1.17052,14.6526,0.748581,,0.398788,0.421936,
-166.68,-139.257,0.824934,-0.00036694,0.00948231,0.038678,0.070772,,15.0553,1.41436,14.692,0.964344,,0.363342,0.450012,
-150.003,-152.974,0.847614,-0.00036694,0.00948231,0.038678,0.070772,,14.5214,1.30225,14.3462,0.824463,,0.175186,0.477787,
-136.315,-156.066,0.887192,-0.00036694,0.00948231,0.038678,0.070772,,14.2799,1.19261,14.1342,0.682936,,0.145691,0.509678,
-176.897,-172.487,0.81641,-0.00036694,0.00948231,0.038678,0.070772,,15.0195,1.79753,14.9413,1.36852,,0.0782928,0.429016,
-167.765,-111.627,0.822254,-0.00036694,0.00948231,0.038678,0.070772,,15.0592,1.15572,14.7133,0.782211,,0.34581,0.373512,
-150.664,-162.475,0.848176,-0.00036694,0.00948231,0.038678,0.070772,,14.5419,1.35669,14.3619,0.888735,,0.180084,0.467958,
-177.958,-174.196,0.816622,-0.00036694,0.00948231,0.038678,0.070772,,14.9807,1.79162,14.9711,1.40301,,0.00959778,0.388609,
-179.41,-177.352,0.814499,-0.00036694,0.00948231,0.038678,0.070772,,14.9518,1.8152,15.0061,1.45153,,-0.0543213,0.363675,
-137.355,-158.511,0.886615,-0.00036694,0.00948231,0.038678,0.070772,,14.3285,1.19729,14.1536,0.710754,,0.174927,0.48654,
-171.732,-111.612,0.817124,-0.00036694,0.00948231,0.038678,0.070772,,15.0592,1.15694,14.804,0.822952,,0.255249,0.333992,
