X,Y,z,dx,dz,dyaw,dt,,観測x,観測y,ヤコビx,ヤコビy,,観測x-ヤコビx,観測y-ヤコビy,
-142.28,-155.102,0.884315,-0.000282593,0.00864896,0.032662,0.0681386,,6.10616,0.309776,11.9296,0.542419,,-5.82344,-0.232643,
-178.184,-111.959,0.814273,-0.000282593,0.00864896,0.032662,0.0681386,,6.45166,0.346924,12.5023,0.67247,,-6.05061,-0.325546,
-156.03,-161.806,0.869033,-0.000282593,0.00864896,0.032662,0.0681386,,6.25926,0.464148,12.151,0.745649,,-5.89178,-0.281502,
-171.23,-110.992,0.822622,-0.000282593,0.00864896,0.032662,0.0681386,,6.45749,0.349419,12.3679,0.606606,,-5.91037,-0.257187,
-173.153,-139.701,0.834325,-0.000282593,0.00864896,0.032662,0.0681386,,6.4733,0.444637,12.435,0.809181,,-5.96169,-0.364544,
-156.207,-153.455,0.872107,-0.000282593,0.00864896,0.032662,0.0681386,,6.2039,0.481392,12.1599,0.715088,,-5.95602,-0.233696,
-142.421,-156.375,0.882706,-0.000282593,0.00864896,0.032662,0.0681386,,6.1066,0.308514,11.9294,0.546141,,-5.82283,-0.237627,
-183.448,-173.181,0.812883,-0.000282593,0.00864896,0.032662,0.0681386,,6.55087,0.694061,12.6207,1.12213,,-6.06982,-0.428068,
-174.216,-111.976,0.821643,-0.000282593,0.00864896,0.032662,0.0681386,,6.45065,0.34977,12.4305,0.641785,,-5.97989,-0.292015,
-156.935,-162.954,0.868744,-0.000282593,0.00864896,0.032662,0.0681386,,6.27159,0.479404,12.168,0.764172,,-5.89638,-0.284767,
-184.531,-174.878,0.810811,-0.000282593,0.00864896,0.032662,0.0681386,,6.57343,0.682032,12.6413,1.14604,,-6.06792,-0.464005,
-185.955,-178.056,0.809063,-0.000282593,0.00864896,0.032662,0.0681386,,6.54486,0.703591,12.6711,1.18642,,-6.12624,-0.482829,
-143.473,-158.882,0.879997,-0.000282593,0.00864896,0.032662,0.0681386,,6.11757,0.371101,11.9428,0.565691,,-5.82527,-0.19459,
-178.184,-111.959,0.814273,-0.000282593,0.00864896,0.032662,0.0681386,,6.45166,0.346924,12.5023,0.67247,,-6.05061,-0.325546,
-184.531,-174.878,0.810811,-0.000282593,0.00864896,0.032662,0.0681386,,6.57343,0.682032,12.6413,1.14604,,-6.06792,-0.464005,
-182.297,-146.673,0.812386,-0.000282593,0.00864896,0.032662,0.0681386,,6.46132,0.515697,12.5925,0.933662,,-6.13116,-0.417965,
-180.202,-181.354,0.81608,-0.000282593,0.00864896,0.032662,0.0681386,,6.42433,0.686491,12.5526,1.1277,,-6.12825,-0.441212,
-142.609,-158.685,0.881523,-0.000282593,0.00864896,0.032662,0.0681386,,6.09439,0.3589,11.9307,0.554909,,-5.83632,-0.196009,
9.99979,-120.175,1.43539,-0.000282593,0.00864896,0.032662,0.0681386,,5.56271,-0.211487,11.5015,-0.836258,,-5.93875,0.624771,
